author,pr_count,issue_count,repos,title,period,status
GreatV,112,14,"Paddle, PaddleOCR, PaddleSeg, Paddle2ONNX, PaConvert, PaddleSpeech, docs, PaddleClas, community, PaddleScience, PaddleNLP, PaddleDepth, PaDiff, PaddleSOT, PaddleMIX",开源仙人,上半年,show
co63oc,1169,18,"Paddle, PaddleMIX, PaddleOCR, PaddleSlim, PaddleNLP, docs, models, Paddle-Lite, PaddleSpeech, Paddle2ONNX, X2Paddle, benchmark, Serving, PGL, PaddleFL, PaddleDetection, CINN, PaddleRec, community, LiteKit, PaddleTest, PaddleScience, PaddleCustomDevice, FastDeploy, PaddleYOLO, Paddle3D, PaConvert",开源仙人,上半年,show
AndSonder,74,3,"Paddle, PaddleNLP, X2Paddle, docs, PaddleDetection, community",开源仙人,上半年,show
Zheng-Bicheng,65,9,"PaddleOCR, FastDeploy, Paddle, PaddleSlim, Paddle2ONNX, docs, PaddleClas, PaddleX, community",开源仙人,上半年,show
megemini,212,8,"Paddle, X2Paddle, docs, PaddleSpeech, community, PaddleScience, PaddleNLP, PaddleCustomDevice, PaddleMIX",开源仙人,上半年,show
zrr1999,50,2,"Paddle, CINN, docs, community, PaddleTest, PaddleSOT, PaConvert",开源仙人,上半年,show
cocoshe,16,2,"Paddle, PaddleOCR, docs, community, PaddleMIX",开源之星,上半年,show
zeroRains,75,1,"Paddle, docs, community, PaddleNLP",开源之星,上半年,show
Yang-Changhui,7,10,"PaddleNLP, Paddle, PaddleSeg, PaddleDetection, PaddleYOLO, docs, PaddleClas, community, PaddleScience, PaddleOCR, PaddleMIX",开源之星,上半年,show
lshpku,36,0,"Paddle, PaddleTest",开源之星,上半年,show
NKNaN,198,4,"Paddle, docs, community, PaddleTest, PaddleScience, PaddleCustomDevice, PaConvert, PaddleMIX",开源之星,上半年,show
YibinLiu666,21,0,"Paddle, docs, community, PaddleMIX",开源之星,上半年,show
invictuszhao,2,0,PaddleOCR,开源之星,上半年,show
gouzil,112,8,"Paddle, Paddle-Lite, docs, PaddleRec, community, PaddleSOT",开源之星,上半年,show
Caozhou1995,6,0,"PaddleFleetX, Paddle, benchmark",开源之星,上半年,show
zbt78,39,2,"Paddle, docs, PaddleDetection, community, PaddleScience, PaddleYOLO, PaddleRS",开源之星,上半年,show
Liyulingyue,60,8,"Paddle, PaddleSpeech, docs, PaddleOCR, ERNIE-SDK",开源仙人,下半年,???
NKNaN,40,4,"Paddle, docs, PaddleTest, PaddleCustomDevice, PaConvert",开源仙人,下半年,???
megemini,39,8,"Paddle, PaddleSpeech, docs, X2Paddle, PaddleMIX",开源仙人,下半年,???
zty-king,4,2,"Paddle, docs, PaddleMIX",开源之星,下半年,???
zeroRains,8,1,Paddle,开源之星,下半年,???
gouzil,27,8,Paddle,开源之星,下半年,???
LilaKen,3,0,PaddleScience,开源之星,下半年,???
xiaoyewww,6,2,"Paddle, Paddle2ONNX",开源之星,下半年,???
BeingGod,3,3,"Paddle, PaddleHelix, PaddleNLP",开源之星,下半年,???
yinfan98,7,1,"Paddle, PaddleSpeech, PaddleMIX",开源之星,下半年,???
ZhijunLStudio,0,1,PaddleMIX,开源之星,下半年,???
Hanyonggong,7,0,"Paddle, docs, PaddleNLP",开源之星,下半年,???
ADream-ki,1,0,Paddle,开源之星,下半年,???
