author,max_additions,max_additions_time,max_additions_pr_link,max_deletions,max_deletions_time,max_deletions_pr_link,fastest_merge_time,fastest_merge_pr_link,latest_night_submission_time,latest_night_submission_link
007-LWYing,1728,2024-05-24 16:14:13,https://github.com/PaddlePaddle/PaddleAPEX/pull/4,67,2024-05-31 09:13:01,https://github.com/PaddlePaddle/PaddleAPEX/pull/6,0 days 02:38:15,https://github.com/PaddlePaddle/PaddleAPEX/pull/6,,
0x3878f,2661,2024-11-19 12:49:44,https://github.com/PaddlePaddle/Paddle2ONNX/pull/1437,1035,2024-11-19 12:49:44,https://github.com/PaddlePaddle/Paddle2ONNX/pull/1437,0 days 00:43:48,https://github.com/PaddlePaddle/Paddle2ONNX/pull/1395,,
0x45f,412,2024-02-02 18:41:33,https://github.com/PaddlePaddle/Paddle/pull/61496,650,2024-02-02 18:41:33,https://github.com/PaddlePaddle/Paddle/pull/61496,0 days 04:46:14,https://github.com/PaddlePaddle/PaddleOCR/pull/13853,,
1196228233,0,,,0,,,0,0,2024-06-05 00:19:14,https://github.com/PaddlePaddle/PaddleMIX/pull/565
15380831711,0,,,0,,,0,0,,
1Q43,0,,,0,,,0,0,,
1chimaruGin,165,2024-04-29 04:11:55,https://github.com/PaddlePaddle/PaddleOCR/pull/12020,0,2024-04-29 04:11:55,https://github.com/PaddlePaddle/PaddleOCR/pull/12020,1 days 11:03:20,https://github.com/PaddlePaddle/PaddleOCR/pull/12020,2024-04-29 04:11:55,https://github.com/PaddlePaddle/PaddleOCR/pull/12020
2742195759,0,2024-06-12 10:30:07,https://github.com/PaddlePaddle/Paddle/pull/65052,4,2024-06-12 10:30:07,https://github.com/PaddlePaddle/Paddle/pull/65052,0 days 05:30:12,https://github.com/PaddlePaddle/Paddle/pull/65052,,
6clc,250,2024-05-28 15:41:23,https://github.com/PaddlePaddle/Paddle/pull/64660,57,2024-04-22 16:27:36,https://github.com/PaddlePaddle/Paddle/pull/63743,0 days 04:26:21,https://github.com/PaddlePaddle/Paddle/pull/62676,,
8baby8,0,,,0,,,0,0,,
974650904,0,,,0,,,0,0,,
A-nnonymous,41,2024-11-08 16:15:31,https://github.com/PaddlePaddle/Paddle/pull/69249,38,2024-11-08 16:15:31,https://github.com/PaddlePaddle/Paddle/pull/69249,0 days 04:07:03,https://github.com/PaddlePaddle/Paddle/pull/69249,,
ADream-ki,499,2024-04-22 10:37:47,https://github.com/PaddlePaddle/Paddle/pull/63728,0,2024-04-22 10:37:47,https://github.com/PaddlePaddle/Paddle/pull/63728,42 days 04:21:38,https://github.com/PaddlePaddle/Paddle/pull/63728,,
AIDeepx,0,,,0,,,0,0,,
Afjes,2137,2024-09-20 14:58:08,https://github.com/PaddlePaddle/PaddleTest/pull/2953,32,2024-09-23 14:30:34,https://github.com/PaddlePaddle/PaddleTest/pull/2957,0 days 00:15:40,https://github.com/PaddlePaddle/PaddleTest/pull/2953,,
AlbinZhu,6,2024-02-27 17:51:34,https://github.com/PaddlePaddle/FastDeploy/pull/2378,6,2024-02-27 17:51:34,https://github.com/PaddlePaddle/FastDeploy/pull/2378,0 days 01:29:44,https://github.com/PaddlePaddle/FastDeploy/pull/2378,,
Albresky,6,2024-11-24 13:09:46,https://github.com/PaddlePaddle/docs/pull/6991,0,2024-11-24 13:09:46,https://github.com/PaddlePaddle/docs/pull/6991,21 days 22:12:29,https://github.com/PaddlePaddle/docs/pull/6991,,
Alex-0x7C00,0,,,0,,,0,0,2024-07-21 02:55:29,https://github.com/PaddlePaddle/FastDeploy/pull/2497
Alex37882388,20,2024-11-01 11:14:29,https://github.com/PaddlePaddle/PaddleOCR/pull/14138,6,2024-11-01 11:14:29,https://github.com/PaddlePaddle/PaddleOCR/pull/14138,0 days 13:00:05,https://github.com/PaddlePaddle/PaddleOCR/pull/14138,,
AlexPasqua,16,2024-05-30 01:10:07,https://github.com/PaddlePaddle/PaddleOCR/pull/12542,5,2024-05-02 19:15:44,https://github.com/PaddlePaddle/PaddleOCR/pull/12042,1 days 08:26:27,https://github.com/PaddlePaddle/PaddleOCR/pull/12542,2024-11-03 03:14:39,https://github.com/PaddlePaddle/PaddleOCR/pull/14147
AliBasarann,2,2024-03-29 21:51:16,https://github.com/PaddlePaddle/PaddleOCR/pull/11847,2,2024-03-29 21:51:16,https://github.com/PaddlePaddle/PaddleOCR/pull/11847,2 days 16:30:16,https://github.com/PaddlePaddle/PaddleOCR/pull/11847,,
